trial_index,ground_truth_choice,trial_nll,has_history,num_history_choices,top2_tokens_probs
0,U,1.5,False,0,"[{'top_tokens': ['U', 'Ġto'], 'top_probs': [0.22265625, 0.09912109375]}]"
1,P,0.48828125,True,1,"[{'top_tokens': ['P', 'U'], 'top_probs': [0.61328125, 0.373046875]}]"
2,P,1.3203125,True,2,"[{'top_tokens': ['U', 'P'], 'top_probs': [0.7265625, 0.267578125]}]"
3,U,0.5234375,True,3,"[{'top_tokens': ['U', 'P'], 'top_probs': [0.59375, 0.40625]}]"
4,U,0.5234375,True,4,"[{'top_tokens': ['U', 'P'], 'top_probs': [0.59375, 0.40625]}]"
5,U,0.6953125,True,5,"[{'top_tokens': ['U', 'P'], 'top_probs': [0.498046875, 0.498046875]}]"
6,U,0.7578125,True,6,"[{'top_tokens': ['P', 'U'], 'top_probs': [0.53125, 0.46875]}]"
7,U,0.6328125,True,7,"[{'top_tokens': ['U', 'P'], 'top_probs': [0.53125, 0.46875]}]"
8,U,0.5234375,True,8,"[{'top_tokens': ['U', 'P'], 'top_probs': [0.59375, 0.40625]}]"
9,U,0.4296875,True,9,"[{'top_tokens': ['U', 'P'], 'top_probs': [0.65234375, 0.34765625]}]"
10,U,0.5234375,True,10,"[{'top_tokens': ['U', 'P'], 'top_probs': [0.59375, 0.40625]}]"
11,U,0.38671875,True,11,"[{'top_tokens': ['U', 'P'], 'top_probs': [0.6796875, 0.3203125]}]"
12,U,0.314453125,True,12,"[{'top_tokens': ['U', 'P'], 'top_probs': [0.73046875, 0.26953125]}]"
13,P,1.5,True,13,"[{'top_tokens': ['U', 'P'], 'top_probs': [0.77734375, 0.22265625]}]"
14,U,0.578125,True,14,"[{'top_tokens': ['U', 'P'], 'top_probs': [0.5625, 0.4375]}]"
15,U,0.474609375,True,15,"[{'top_tokens': ['U', 'P'], 'top_probs': [0.62109375, 0.37890625]}]"
16,U,0.4296875,True,16,"[{'top_tokens': ['U', 'P'], 'top_probs': [0.65234375, 0.34765625]}]"
17,U,0.349609375,True,17,"[{'top_tokens': ['U', 'P'], 'top_probs': [0.703125, 0.29296875]}]"
18,U,0.349609375,True,18,"[{'top_tokens': ['U', 'P'], 'top_probs': [0.703125, 0.29296875]}]"
19,U,0.314453125,True,19,"[{'top_tokens': ['U', 'P'], 'top_probs': [0.73046875, 0.26953125]}]"
20,P,1.40625,True,20,"[{'top_tokens': ['U', 'P'], 'top_probs': [0.75390625, 0.2451171875]}]"
21,U,0.4296875,True,21,"[{'top_tokens': ['U', 'P'], 'top_probs': [0.65234375, 0.34765625]}]"
22,U,0.314453125,True,22,"[{'top_tokens': ['U', 'P'], 'top_probs': [0.73046875, 0.26953125]}]"
